title,album,lyrics,lyrics_clean
Jumpsuit,Trench,"Cover me, oh!

I can't believe how much I hate
Pressures of a new place roll my way
Jumpsuit, jumpsuit, cover me
Jumpsuit, jumpsuit, cover me
I crumble underneath the weight
Pressures of a new place roll my way
Jumpsuit, jumpsuit, cover me
Jumpsuit, jumpsuit, cover me

Spirits in my room, friend or foe?
Felt it in my youth, feel it when I'm old
Jumpsuit, jumpsuit, cover me
Dusting off my jumpsuit (Cover me)

I can't believe how much I hate (Cover me, oh)
Pressures of a new place roll my way (Cover me, oh)
Jumpsuit, jumpsuit, cover me (Cover me, oh)
Jumpsuit, jumpsuit, cover me (Cover me, oh)

I'll be right there
But you'll have to grab my throat and lift me in the air
If you need anyone
I'll stop my plans (I'll stop my plans)
But you'll have to tie me down and then break both my hands
If you need anyone
I'll be right there (I'll be right there)
But you'll have to grab my throat and lift me in the air
(If you need anyone)
If you need anyone (If you need anyone)
If you need anyone (If you need anyone)
If you need anyone

I can't believe how much I hate
Pressures of a new place roll my way
Jumpsuit, jumpsuit, cover me
Oh, jumpsuit, jumpsuit, cover me, oh!

Jumpsuit, jumpsuit, cover me!
Jumpsuit, jumpsuit, cover me!","cover me, oh!
i can't believe how much i hate
pressures of a new place roll my way
jumpsuit, jumpsuit, cover me
jumpsuit, jumpsuit, cover me
i crumble underneath the weight
pressures of a new place roll my way
jumpsuit, jumpsuit, cover me
jumpsuit, jumpsuit, cover me
spirits in my room, friend or foe?
felt it in my youth, feel it when i'm old
jumpsuit, jumpsuit, cover me
dusting off my jumpsuit
i can't believe how much i hate
pressures of a new place roll my way
jumpsuit, jumpsuit, cover me
jumpsuit, jumpsuit, cover me
i'll be right there
but you'll have to grab my throat and lift me in the air
if you need anyone
i'll stop my plans
but you'll have to tie me down and then break both my hands
if you need anyone
i'll be right there
but you'll have to grab my throat and lift me in the air
if you need anyone
if you need anyone
if you need anyone
i can't believe how much i hate
pressures of a new place roll my way
jumpsuit, jumpsuit, cover me
oh, jumpsuit, jumpsuit, cover me, oh!
jumpsuit, jumpsuit, cover me!
jumpsuit, jumpsuit, cover me!"
Levitate,Trench,"Oh, I know how to levitate up off my feet
And ever since the seventh grade I learned to fire-breathe
And though I feed on things that fell
You can learn to levitate with just a little help
Learn to levitate with just a little help

Come down, come down
Cowards only come through when the hour's late
And everyone's asleep, mind you
Now show up, show up
I know I shouldn't say this
But a curse from you is all that I would need right now, man
Come down, come down
Cowards only come through when the hour's late
And everyone's asleep, mind you
Now show up, show up
I know I shouldn't say this
But a curse from you is all that I would need right now, man

Danger in the fabric of this thing I made
I probably shouldn't show you, but it's way too late
My heart is with you hiding, but my mind's not made
Now they know it like we both knew for some time I'd say
They're smirking at first blood, they're circling above
But this is not enough, yeah, this is not what you thought
No, no, we are not just graffiti on a passing train
I got back what I once bought back
In that slot, I won't need to replace
This culture is a poacher of overexposure, not today
Don't feed me to the vultures, I am a vulture who feeds on pain
Sleep in a well-lit room, don't let the shadow through
And sever all I knew, yeah, sever all
I thought I could depend on my weekends
On the freezing ground that I'm sleeping on
Please, keep me from, please keep me down from the ledges
Better test it, wooden wedges under doorways
Keep your wooden wedges under doors
Chorus, verse, chorus, verse, now here comes the eight
Wait, habits here too, you're the worst, your structure compensates
But compensation feels a lot like rising up to dominate by track two
At least they all know all they hear comes from a place

Oh, I know how to levitate up off my feet
And ever since the seventh grade I learned to fire-breathe
And though I feed on things that fell
You can learn to levitate with just a little help
You can levitate with just a little help

Welcome to Trench","oh, i know how to levitate up off my feet
and ever since the seventh grade i learned to fire-breathe
and though i feed on things that fell
you can learn to levitate with just a little help
learn to levitate with just a little help
come down, come down
cowards only come through when the hour's late
and everyone's asleep, mind you
now show up, show up
i know i shouldn't say this
but a curse from you is all that i would need right now, man
come down, come down
cowards only come through when the hour's late
and everyone's asleep, mind you
now show up, show up
i know i shouldn't say this
but a curse from you is all that i would need right now, man
danger in the fabric of this thing i made
i probably shouldn't show you, but it's way too late
my heart is with you hiding, but my mind's not made
now they know it like we both knew for some time i'd say
they're smirking at first blood, they're circling above
but this is not enough, yeah, this is not what you thought
no, no, we are not just graffiti on a passing train
i got back what i once bought back
in that slot, i won't need to replace
this culture is a poacher of overexposure, not today
don't feed me to the vultures, i am a vulture who feeds on pain
sleep in a well-lit room, don't let the shadow through
and sever all i knew, yeah, sever all
i thought i could depend on my weekends
on the freezing ground that i'm sleeping on
please, keep me from, please keep me down from the ledges
better test it, wooden wedges under doorways
keep your wooden wedges under doors
chorus, verse, chorus, verse, now here comes the eight
wait, habits here too, you're the worst, your structure compensates
but compensation feels a lot like rising up to dominate by track two
at least they all know all they hear comes from a place
oh, i know how to levitate up off my feet
and ever since the seventh grade i learned to fire-breathe
and though i feed on things that fell
you can learn to levitate with just a little help
you can levitate with just a little help
welcome to trench"
Morph,Trench,"Can't stop thinking about if and when I die
For now, I see that ""if"" and ""when"" are truly different cries
For ""if"" is purely panic and ""when"" is solemn sorrow
And one invades today while the other spies tomorrow
We're surrounded and we're hounded
There's no above or under or around it
For ""above"" is blind belief and ""under"" is sword to sleeve
And ""around"" is scientific miracle, let's pick ""above"" and see
For if and when we go above, the question still remains
Are we still in love and is it possible we feel the same?
And that's when goin' under starts to take my wonder
But until that time, I'll try to sing this

If I keep moving, they won't know
I'll morph to someone else
What they throw at me's too slow
I'll morph to someone else, I'm just a ghost
I'll morph to someone else
A defense mechanism mode

He'll always try to stop me, that Nicolas Bourbaki
He's got no friends close but those who know him most know
He goes by Nico, he told me I'm a copy
When I'd hear him mock me, that's almost stopped me
Well, we're surrounded and we're hounded
There's no above or a secret door
What are we here for
If not to run straight through all our tormentors?
But until that time, I'll try to sing this

If I keep moving, they won't know
I'll morph to someone else
What they throw at me's too slow
I'll morph to someone else, I'm just a ghost
I'll morph to someone else
A defense mechanism mode
I'll morph to someone else

Lights, they blink to me, transmitting things to me
Ones and zeroes, ergo this symphony
Anybody listening? Ones and zeroes
Count to infinity, ones and zeroes
I'm surrounded and I'm hounded
There's no above, or under, or around it
For ""above"" is blind belief and ""under"" is sword to sleeve
And ""around"" is scientific miracle, let's pick ""above"" and see
For if and when we go above, the question still remains
Are we still in love and is it possible we feel the same?
And that's when goin' under starts to take my wonder
But until that time
I'll morph to someone else, I'm just a ghost

If I keep moving, they won't know
I'll morph to someone else
What they throw at me's too slow
I'll morph to someone else, I'm just a ghost
I'll morph to someone else
A defense mechanism mode
If I keep moving, they won't know
I'll morph to someone else
A defense mechanism mode
I'll morph to someone else

Not done, not done
Not done, Josh Dun
I'll morph to someone else","can't stop thinking about if and when i die
for now, i see that ""if"" and ""when"" are truly different cries
for ""if"" is purely panic and ""when"" is solemn sorrow
and one invades today while the other spies tomorrow
we're surrounded and we're hounded
there's no above or under or around it
for ""above"" is blind belief and ""under"" is sword to sleeve
and ""around"" is scientific miracle, let's pick ""above"" and see
for if and when we go above, the question still remains
are we still in love and is it possible we feel the same?
and that's when goin' under starts to take my wonder
but until that time, i'll try to sing this
if i keep moving, they won't know
i'll morph to someone else
what they throw at me's too slow
i'll morph to someone else, i'm just a ghost
i'll morph to someone else
a defense mechanism mode
he'll always try to stop me, that nicolas bourbaki
he's got no friends close but those who know him most know
he goes by nico, he told me i'm a copy
when i'd hear him mock me, that's almost stopped me
well, we're surrounded and we're hounded
there's no above or a secret door
what are we here for
if not to run straight through all our tormentors?
but until that time, i'll try to sing this
if i keep moving, they won't know
i'll morph to someone else
what they throw at me's too slow
i'll morph to someone else, i'm just a ghost
i'll morph to someone else
a defense mechanism mode
i'll morph to someone else
lights, they blink to me, transmitting things to me
ones and zeroes, ergo this symphony
anybody listening? ones and zeroes
count to infinity, ones and zeroes
i'm surrounded and i'm hounded
there's no above, or under, or around it
for ""above"" is blind belief and ""under"" is sword to sleeve
and ""around"" is scientific miracle, let's pick ""above"" and see
for if and when we go above, the question still remains
are we still in love and is it possible we feel the same?
and that's when goin' under starts to take my wonder
but until that time
i'll morph to someone else, i'm just a ghost
if i keep moving, they won't know
i'll morph to someone else
what they throw at me's too slow
i'll morph to someone else, i'm just a ghost
i'll morph to someone else
a defense mechanism mode
if i keep moving, they won't know
i'll morph to someone else
a defense mechanism mode
i'll morph to someone else
not done, not done
not done, josh dun
i'll morph to someone else"
My Blood,Trench,"When everyone you thought you knew
Deserts your fight, I'll go with you
You're facin' down a dark hall
I'll grab my light

And go with you, I'll go with you
I'll go with you, I'll go with you
I'll go with you, I'll go with you
I'll go with you, I'll go with you

Surrounded and up against a wall
I'll shred 'em all and go with you
When choices end, you must defend
I'll grab my bat

And go with you, I'll go with you
I'll go with you, I'll go with you, yeah

Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run

If there comes a day
People posted up at the end of your driveway
They're callin' for your head and they're callin' for your name
I'll bomb down on 'em, I'm comin' through
Did they know I was grown with you?
If they're here to smoke, know I'll go with you
Just keep it outside, keep it outside, yeah

Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run

If you find yourself in a lion's den
I'll jump right in and pull my pin

And go with you, I'll go with you
I'll go with you, I'll go with you
(You don't need to run)
I'll go with you, I'll go with you
(You don't need to run)
I'll go with you
My blood, I'll go with you, yeah

Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
Stay with me, no, you don't need to run
Stay with me, my blood","when everyone you thought you knew
deserts your fight, i'll go with you
you're facin' down a dark hall
i'll grab my light
and go with you, i'll go with you
i'll go with you, i'll go with you
i'll go with you, i'll go with you
i'll go with you, i'll go with you
surrounded and up against a wall
i'll shred 'em all and go with you
when choices end, you must defend
i'll grab my bat
and go with you, i'll go with you
i'll go with you, i'll go with you, yeah
stay with me, no, you don't need to run
stay with me, my blood, you don't need to run
stay with me, no, you don't need to run
stay with me, my blood, you don't need to run
if there comes a day
people posted up at the end of your driveway
they're callin' for your head and they're callin' for your name
i'll bomb down on 'em, i'm comin' through
did they know i was grown with you?
if they're here to smoke, know i'll go with you
just keep it outside, keep it outside, yeah
stay with me, no, you don't need to run
stay with me, my blood, you don't need to run
stay with me, no, you don't need to run
stay with me, my blood, you don't need to run
you don't need to run
you don't need to run
you don't need to run
you don't need to run
if you find yourself in a lion's den
i'll jump right in and pull my pin
and go with you, i'll go with you
i'll go with you, i'll go with you
i'll go with you, i'll go with you
i'll go with you
my blood, i'll go with you, yeah
stay with me, no, you don't need to run
stay with me, my blood, you don't need to run
stay with me, no, you don't need to run
stay with me, my blood, you don't need to run
you don't need to run
you don't need to run
you don't need to run
you don't need to run
stay with me, no, you don't need to run
stay with me, my blood"
Chlorine,Trench,"So where are ya?
It's been a little while

Sippin' on straight chlorine
Let the vibe slide over me
This beat is a chemical, beat is a chemical
When I leave, don't save my seat
I'll be back when it's all complete
The moment is medical, moment is medical
Sippin' on straight chlorine

Lovin' what I'm tastin', woah
Venom on my tongue, dependent at times
Poisonous vibrations, woah
Help my body run

I'm runnin' for my life
Runnin' for my life

Sippin' on straight chlorine
Let the vibe slide over me
This beat is a chemical, beat is a chemical
When I leave, don't save my seat
I'll be back when it's all complete
The moment is medical, moment is medical
Sippin' on straight chlorine

Fall out of formation, woah
I plan my escape from walls they confined
Rebel red carnation, woa-a-oh
Grows while I decay

I'm runnin' for my life
Runnin' for my life
Yeah, I'm runnin' for my life
Runnin' for my life

Hide you in my coat pocket, where I kept my rebel red
I felt I was invincible, you wrapped around my head
Now different lives I lead, my body lives on lead
The last two lines may read incorrect until said
The lead is terrible in flavor
But now you double as a paper maker
I despise you sometimes, I love to hate the fight
And you in my life is like

Sippin' on straight chlorine
Let the vibe slide over me
This beat is a chemical, beat is a chemical
When I leave, don't save my seat
I'll be back when it's all complete
The moment is medical, moment is medical
Sippin' on straight chlorine

Let the vibe, let the vibe
Let the vibe, let the vibe
Beat is a chemical, yeah
Let the vibe, let the vibe
Let the vibe, let the vibe
Moment is medical, yeah
Sippin' on straight chlorine
Let the vibe, let the vibe
Let the vibe, let the vibe
Beat is a chemical, yeah
Let the vibe, let the vibe
Let the vibe, let the vibe
Moment is medical, yeah

I'm so sorry I forgot you
Let me catch you up to speed
I've been tested like the ends of
A weathered flag that's by the sea
Can you build my house with pieces?
I'm just a chemical
Can you build my house with pieces?
I'm just a chemical
Can you build my house with pieces?
I'm just a chemical
Can you build my house with pieces?
I'm just a chemical","so where are ya?
it's been a little while
sippin' on straight chlorine
let the vibe slide over me
this beat is a chemical, beat is a chemical
when i leave, don't save my seat
i'll be back when it's all complete
the moment is medical, moment is medical
sippin' on straight chlorine
lovin' what i'm tastin', woah
venom on my tongue, dependent at times
poisonous vibrations, woah
help my body run
i'm runnin' for my life
runnin' for my life
sippin' on straight chlorine
let the vibe slide over me
this beat is a chemical, beat is a chemical
when i leave, don't save my seat
i'll be back when it's all complete
the moment is medical, moment is medical
sippin' on straight chlorine
fall out of formation, woah
i plan my escape from walls they confined
rebel red carnation, woa-a-oh
grows while i decay
i'm runnin' for my life
runnin' for my life
yeah, i'm runnin' for my life
runnin' for my life
hide you in my coat pocket, where i kept my rebel red
i felt i was invincible, you wrapped around my head
now different lives i lead, my body lives on lead
the last two lines may read incorrect until said
the lead is terrible in flavor
but now you double as a paper maker
i despise you sometimes, i love to hate the fight
and you in my life is like
sippin' on straight chlorine
let the vibe slide over me
this beat is a chemical, beat is a chemical
when i leave, don't save my seat
i'll be back when it's all complete
the moment is medical, moment is medical
sippin' on straight chlorine
let the vibe, let the vibe
let the vibe, let the vibe
beat is a chemical, yeah
let the vibe, let the vibe
let the vibe, let the vibe
moment is medical, yeah
sippin' on straight chlorine
let the vibe, let the vibe
let the vibe, let the vibe
beat is a chemical, yeah
let the vibe, let the vibe
let the vibe, let the vibe
moment is medical, yeah
i'm so sorry i forgot you
let me catch you up to speed
i've been tested like the ends of
a weathered flag that's by the sea
can you build my house with pieces?
i'm just a chemical
can you build my house with pieces?
i'm just a chemical
can you build my house with pieces?
i'm just a chemical
can you build my house with pieces?
i'm just a chemical"
Smithereens,Trench,"You know
I've always been collected, calm and chill
And you know
I never look for conflict for the thrill
But if I’m feeling
Someone stepping towards you, can't describe
Just what I'm feeling

For you, I’d go
Step to a dude much bigger than me
For you, I know
I would get messed up, weigh 153
For you
I would get beat to smithereens

You know
I'll be in the corner taking notes
And you know
I got your six while you're working votes
But if I'm feeling
Someone stepping towards you, can't describe
Just what I'm feeling

For you, I'd go
Step to a dude much bigger than me
For you, I know
I would get messed up, weigh 153
For you
I would get beat to smithereens

(Fight fight fight fight fight)
(I would get beat to)
You know I had to do one
You know I had to do one
You know I had to do one on the record (For you)
You know I had to do one on the record for her like this
You know I had to do one on the record for her like this
You know I had to do one on the record for her like this
You know I had to do one on the record for her

If I'm feeling
Someone stepping towards you, can’t describe
Just what I’m feeling

For you, I'd go
Write a slick song just to show you the world
For you, I know
They think it’s messed up to sell out for your girl
For you, I'd go
Step to a dude much bigger than me
For you, I know
I would get messed up, weigh 153
For you
I would get beat to smithereens","you know
i've always been collected, calm and chill
and you know
i never look for conflict for the thrill
but if i’m feeling
someone stepping towards you, can't describe
just what i'm feeling
for you, i’d go
step to a dude much bigger than me
for you, i know
i would get messed up, weigh 153
for you
i would get beat to smithereens
you know
i'll be in the corner taking notes
and you know
i got your six while you're working votes
but if i'm feeling
someone stepping towards you, can't describe
just what i'm feeling
for you, i'd go
step to a dude much bigger than me
for you, i know
i would get messed up, weigh 153
for you
i would get beat to smithereens
you know i had to do one
you know i had to do one
you know i had to do one on the record
you know i had to do one on the record for her like this
you know i had to do one on the record for her like this
you know i had to do one on the record for her like this
you know i had to do one on the record for her
if i'm feeling
someone stepping towards you, can’t describe
just what i’m feeling
for you, i'd go
write a slick song just to show you the world
for you, i know
they think it’s messed up to sell out for your girl
for you, i'd go
step to a dude much bigger than me
for you, i know
i would get messed up, weigh 153
for you
i would get beat to smithereens"
Neon Gravestones,Trench,"Call (Call)
Call (Call)
Call (Call)

What's my problem?
Well, I want you to follow me down to the bottom
Underneath the insane asylum
Keep your wits about you while you got 'em
'Cause your wits are first to go while you're problem-solvin'
And my problem?
We glorify those even more when they...
My opinion, our culture can treat a loss like it's a win
And right before we turn on them
We give 'em the highest of praise
And hang their banner from the ceiling
Communicating, further engraving
An earlier grave is an optional way, no

Neon gravestones try to call (Neon gravestones try to call)
Neon gravestones try to call for my bones (Neon gravestones try to call)
Call (For my bones)
Call, call, call (Call, call, call)
Call (Call)
Call (Call)

What's my problem?
Don't get it twisted
It's with the people we praise who may have assisted
I could use the streams and extra conversations
I could give up, and boost up my reputation
I could go out with a bang
They would know my name
They would host and post a celebration
My opinion will not be lenient
My opinion, it's real convenient
Our words are loud, but now I'm talkin' action
We don't get enough love? Well, they get a fraction
They say, ""How could he go if he's got everything?”
I'll mourn for a kid, but won't cry for a king

Neon gravestones try to call (Neon gravestones try to call)
Neon gravestones try to call for my bones (Neon gravestones try to call)
Call (For my bones)
Call, call, call

Promise me this (Call, call)
If I lose to myself
You won't mourn a day
And you'll move on to someone else
Promise me this
If I lose to myself
You won't mourn a day
And you'll move on to someone else
(Ooh-ooh, call, ooh-ooh, call)

Neon gravestones try to call
(Neon gravestones try to call)
Neon gravestones try to call for my bones
(Neon gravestones try to call)
Neon gravestones try to call
(Neon gravestones try to call)
Neon gravestones try to call for my bones
(Neon gravestones try to call for my bones)

'Cause they won't get 'em
No, they won't get 'em
They won't get 'em
But they won't get 'em

Don't get me wrong, the rise in awareness
Is beating a stigma that no longer scares us
But for sake of discussion, in spirit of fairness
Could we give this some room for a new point of view?
And could it be true that some could be tempted
To use this mistake as a form of aggression?
A form of succession? A form of a weapon?
Thinking ""I'll teach them,"" well, I'm refusing the lesson
It won't resonate in our minds
I'm not disrespecting what was left behind
Just pleading that it does not get glorified
Maybe we swap out what it is that we hold so high
Find your grandparents or someone of age
Pay some respects for the path that they paved
To life, they were dedicated
Now, that should be celebrated","call
call
call
what's my problem?
well, i want you to follow me down to the bottom
underneath the insane asylum
keep your wits about you while you got 'em
'cause your wits are first to go while you're problem-solvin'
and my problem?
we glorify those even more when they...
my opinion, our culture can treat a loss like it's a win
and right before we turn on them
we give 'em the highest of praise
and hang their banner from the ceiling
communicating, further engraving
an earlier grave is an optional way, no
neon gravestones try to call
neon gravestones try to call for my bones
call
call, call, call
call
call
what's my problem?
don't get it twisted
it's with the people we praise who may have assisted
i could use the streams and extra conversations
i could give up, and boost up my reputation
i could go out with a bang
they would know my name
they would host and post a celebration
my opinion will not be lenient
my opinion, it's real convenient
our words are loud, but now i'm talkin' action
we don't get enough love? well, they get a fraction
they say, ""how could he go if he's got everything?”
i'll mourn for a kid, but won't cry for a king
neon gravestones try to call
neon gravestones try to call for my bones
call
call, call, call
promise me this
if i lose to myself
you won't mourn a day
and you'll move on to someone else
promise me this
if i lose to myself
you won't mourn a day
and you'll move on to someone else
neon gravestones try to call
neon gravestones try to call for my bones
neon gravestones try to call
neon gravestones try to call for my bones
'cause they won't get 'em
no, they won't get 'em
they won't get 'em
but they won't get 'em
don't get me wrong, the rise in awareness
is beating a stigma that no longer scares us
but for sake of discussion, in spirit of fairness
could we give this some room for a new point of view?
and could it be true that some could be tempted
to use this mistake as a form of aggression?
a form of succession? a form of a weapon?
thinking ""i'll teach them,"" well, i'm refusing the lesson
it won't resonate in our minds
i'm not disrespecting what was left behind
just pleading that it does not get glorified
maybe we swap out what it is that we hold so high
find your grandparents or someone of age
pay some respects for the path that they paved
to life, they were dedicated
now, that should be celebrated"
The Hype,Trench,"Sometimes I feel cold, even paralyzed
My interior world needs to sanitize
I've got to step through or I’ll dissipate
I'll record my step through for my basement tapes

Nice to know my kind will be on my side
I don't believe the hype
And you know you’re a terrible sight
But you'll be just fine
Just don't believe the hype

Yeah, they might be talking behind your head
Your exterior world can step off instead
It might take some friends and a warmer shirt
But you don't get thick skin without getting burnt

Nice to know my kind will be on my side
I don't believe the hype
And you know you're a terrible sight
But you'll be just fine
Just don't believe the hype
(Take me with you)

(We’re gonna rely pretty heavily
On technology
And energy
To cover up the fact that we’re only two people
But I think we can do it)
No, I don't know which way I’m going
But I can hear my way around
No, I don't know which way I'm going
But I can hear my way around
No, I don't know which way I’m going
But I can hear my way around
No, I don't know which way I'm going
But I can hear my way around
But I can hear my way around

Nice to know my kind will be on my side
I don't believe the hype
And you know you're a terrible sight
But you'll be just fine
Just don't believe the hype
(Don't believe the hype)
Nice to know my kind will be on my side
I don't believe the hype
And you know you're a terrible sight
But you'll be just fine
Just don't believe the hype
Nice to know my kind will be on my side
I don't believe the hype
And you know you're a terrible sight
But you'll be just fine
Just don't believe the hype","sometimes i feel cold, even paralyzed
my interior world needs to sanitize
i've got to step through or i’ll dissipate
i'll record my step through for my basement tapes
nice to know my kind will be on my side
i don't believe the hype
and you know you’re a terrible sight
but you'll be just fine
just don't believe the hype
yeah, they might be talking behind your head
your exterior world can step off instead
it might take some friends and a warmer shirt
but you don't get thick skin without getting burnt
nice to know my kind will be on my side
i don't believe the hype
and you know you're a terrible sight
but you'll be just fine
just don't believe the hype
(we’re gonna rely pretty heavily
on technology
and energy
to cover up the fact that we’re only two people
but i think we can do it)
no, i don't know which way i’m going
but i can hear my way around
no, i don't know which way i'm going
but i can hear my way around
no, i don't know which way i’m going
but i can hear my way around
no, i don't know which way i'm going
but i can hear my way around
but i can hear my way around
nice to know my kind will be on my side
i don't believe the hype
and you know you're a terrible sight
but you'll be just fine
just don't believe the hype
nice to know my kind will be on my side
i don't believe the hype
and you know you're a terrible sight
but you'll be just fine
just don't believe the hype
nice to know my kind will be on my side
i don't believe the hype
and you know you're a terrible sight
but you'll be just fine
just don't believe the hype"
Nico And The Niners,Trench,"Msilaiv ecnuoned ew
Tsae eurt daeh dna amed evael lliw uoy
Sotidnab era ew

East is up, I'm fearless when I hear this on the low
East is up, I'm careless when I wear my rebel clothes
East is up, when Bishops come together they will know that
Dema don't control us, Dema don't control
East is up

They want to make you forget
They want to make you forget
Save your razorblades now, not yet
Save your razorblades now, not yet

I'm heavy, my jumpsuit is unsteady
I'm lighter when I'm lower, I'm higher when I'm heavy, oh
I'm so high, my Jumpsuit takes me so high
I'm flying from a fire, from Nico and the Niners, oh
East is up, I'm fearless when I hear this on the low
East is up, I'm careless when I wear my rebel clothes
East is up, when Bishops come together they will know that
Dema don't control us, Dema don't control
I'm heavy, my jumpsuit is unsteady
I'm lighter when I'm lower, I'm higher when I'm heavy, oh
I'm so high, my Jumpsuit takes me so high
I'm flying from a fire, from Nico and the Niners, oh

I'm heavy, jumpsuit is unsteady
Lighter when I'm lower, higher when I'm heavy, oh
I'm so high, I'm so high
So high, I'm so high
Fire, Nico and the Niners

What I say when I want to be enough
What a beautiful day for making a break for it
We'll find a way to pay for it
Maybe from all the money we made razorblade stores
Rent a racehorse and force a sponsor
And start a concert, a complete diversion
Start a mob and you can be quite certain
We'll win but not everyone will get out
No, no
We'll win but not everyone will get out
No, no
We'll win but not everyone will get out

East is up, I'm fearless when I hear this on the low
East is up, I'm careless when I wear my rebel clothes
East is up, when Bishops come together they will know that
Dema don't control us, Dema don't control
East is up

I'm so high, so high
Fire, Nico and the Niners
I'm so high, so high
Sotidnab era ew
Fire, Nico and the Niners","msilaiv ecnuoned ew
tsae eurt daeh dna amed evael lliw uoy
sotidnab era ew
east is up, i'm fearless when i hear this on the low
east is up, i'm careless when i wear my rebel clothes
east is up, when bishops come together they will know that
dema don't control us, dema don't control
east is up
they want to make you forget
they want to make you forget
save your razorblades now, not yet
save your razorblades now, not yet
i'm heavy, my jumpsuit is unsteady
i'm lighter when i'm lower, i'm higher when i'm heavy, oh
i'm so high, my jumpsuit takes me so high
i'm flying from a fire, from nico and the niners, oh
east is up, i'm fearless when i hear this on the low
east is up, i'm careless when i wear my rebel clothes
east is up, when bishops come together they will know that
dema don't control us, dema don't control
i'm heavy, my jumpsuit is unsteady
i'm lighter when i'm lower, i'm higher when i'm heavy, oh
i'm so high, my jumpsuit takes me so high
i'm flying from a fire, from nico and the niners, oh
i'm heavy, jumpsuit is unsteady
lighter when i'm lower, higher when i'm heavy, oh
i'm so high, i'm so high
so high, i'm so high
fire, nico and the niners
what i say when i want to be enough
what a beautiful day for making a break for it
we'll find a way to pay for it
maybe from all the money we made razorblade stores
rent a racehorse and force a sponsor
and start a concert, a complete diversion
start a mob and you can be quite certain
we'll win but not everyone will get out
no, no
we'll win but not everyone will get out
no, no
we'll win but not everyone will get out
east is up, i'm fearless when i hear this on the low
east is up, i'm careless when i wear my rebel clothes
east is up, when bishops come together they will know that
dema don't control us, dema don't control
east is up
i'm so high, so high
fire, nico and the niners
i'm so high, so high
sotidnab era ew
fire, nico and the niners"
Cut My Lip,Trench,"I'll keep on tryin’, might as well
If you decide all is well
I'll keep on tryin', might as well (Might as well)
If you decide all is well (All is well)

Though I am bruised, face of contusions
Know I’ll keep movin'
Though I am bruised, face of contusions
Know I'll keep movin', know I'll keep movin'

Rust around the rim, drink it anyway
I cut my lip
Isn't what I want, blood is on my tongue
I cut my lip

I keep on goin' back
Even though it’s me I abuse
I’ll keep on goin' back
Even...

Though I am bruised, face of contusions
Know I’ll keep movin'
Though I am bruised, face of contusions
Know I'll keep movin', know I’ll keep movin'

Rust around the rim, drink it anyway
I cut my lip
Isn't what I want, blood is on my tongue
I cut my lip, oh oh, yeah
I cut my lip, oh oh, yeah

I don't mind at all, lean on my pride
Lean on my pride, I'm a lion
I don't mind at all, lean on my pride
Lean on my pride, I'm a lion
I don't mind at all, lean on my pride
Lean on my pride, I'm a lion
I don't mind at all, lean on my pride
Lean on my pride, I'm a lion

Though I am bruised, face of contusions
Know I'll keep movin', know I'll keep movin'

Rust around the rim, drink it anyway
I cut my lip
Isn't what I want, blood is on my tongue
I cut my lip
I cut my lip

I don't mind at all, lean on my pride
Lean on my pride, I'm a lion
I don't mind at all, lean on my pride
Lean on my pride, I'm a lion","i'll keep on tryin’, might as well
if you decide all is well
i'll keep on tryin', might as well
if you decide all is well
though i am bruised, face of contusions
know i’ll keep movin'
though i am bruised, face of contusions
know i'll keep movin', know i'll keep movin'
rust around the rim, drink it anyway
i cut my lip
isn't what i want, blood is on my tongue
i cut my lip
i keep on goin' back
even though it’s me i abuse
i’ll keep on goin' back
even...
though i am bruised, face of contusions
know i’ll keep movin'
though i am bruised, face of contusions
know i'll keep movin', know i’ll keep movin'
rust around the rim, drink it anyway
i cut my lip
isn't what i want, blood is on my tongue
i cut my lip, oh oh, yeah
i cut my lip, oh oh, yeah
i don't mind at all, lean on my pride
lean on my pride, i'm a lion
i don't mind at all, lean on my pride
lean on my pride, i'm a lion
i don't mind at all, lean on my pride
lean on my pride, i'm a lion
i don't mind at all, lean on my pride
lean on my pride, i'm a lion
though i am bruised, face of contusions
know i'll keep movin', know i'll keep movin'
rust around the rim, drink it anyway
i cut my lip
isn't what i want, blood is on my tongue
i cut my lip
i cut my lip
i don't mind at all, lean on my pride
lean on my pride, i'm a lion
i don't mind at all, lean on my pride
lean on my pride, i'm a lion"
